what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1274818935446
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1274818935446
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1274818935446
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1274818935446
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1274818935446
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1274818935461
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1274818935461
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1274818935461
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1274818935461
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1274818935461
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1274818935461
os,sysinfo,,,"win32",1274818935461
arch,sysinfo,,,"x86",1274818935461
ws,sysinfo,,,"win32",1274818935461
locale,sysinfo,,,"bg_BG",1274818935461
processors,sysinfo,,,"2",1274818935461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274818935461
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1274818935461
java.specification.name,sysinfo,,,"Java Platform API Specification",1274818935461
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274818935461
java.specification.version,sysinfo,,,"1.6",1274818935461
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274818935461
java.version,sysinfo,,,"1.6.0_10",1274818935461
java.vm.info,sysinfo,,,"mixed mode, sharing",1274818935461
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274818935461
